0,1,2,3,4,5,6,7,8,9
1,Delhi,Najafgarh,Rice,Basumathi,FAQ,1800,1800,1800,12 Jul 2015
2,Delhi,Najafgarh,Rice,Basumathi,FAQ,1875,1875,1875,26 Dec 2014
3,Delhi,Najafgarh,Rice,Basumathi,FAQ,1900,1900,1900,22 Mar 2015
4,Delhi,Najafgarh,Rice,Basumathi,FAQ,1900,1900,1900,24 Apr 2015
5,Delhi,Najafgarh,Rice,Basumathi,FAQ,1900,1900,1900,27 Jan 2015
6,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,07 Nov 2014
7,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,07 Oct 2014
8,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,08 Nov 2014
9,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,14 Dec 2014
10,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,15 Jan 2015
11,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,16 Apr 2015
12,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,16 Oct 2014
13,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,17 Nov 2014
14,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,18 Jan 2015
15,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,18 Jun 2015
16,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,18 May 2015
17,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,19 May 2015
18,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,19 Oct 2014
19,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,20 Apr 2015
20,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,20 Dec 2014
21,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,20 Mar 2015
22,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,21 Nov 2014
23,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,22 Dec 2014
24,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,23 Jan 2015
25,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,23 May 2015
26,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,25 Oct 2014
27,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,26 Apr 2015
28,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,26 Feb 2015
29,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,26 Oct 2014
30,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,26 Sep 2014
31,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,27 Dec 2014
32,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,28 May 2015
33,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,29 Sep 2014
34,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,30 Jun 2015
35,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,30 Nov 2014
36,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,30 Oct 2014
37,Delhi,Najafgarh,Rice,Basumathi,FAQ,2100,2100,2100,16 Mar 2015
38,Delhi,Najafgarh,Rice,Basumathi,FAQ,2100,2100,2100,22 Feb 2015
39,Delhi,Najafgarh,Rice,Basumathi,FAQ,2100,2100,2100,24 Nov 2014
40,Delhi,Najafgarh,Rice,Basumathi,FAQ,2100,2100,2100,27 Sep 2014
41,Delhi,Najafgarh,Rice,Basumathi,FAQ,2100,2100,2100,28 Oct 2014
42,Delhi,Najafgarh,Rice,Basumathi,FAQ,2200,2200,2200,02 Feb 2015
43,Delhi,Najafgarh,Rice,Basumathi,FAQ,5000,5000,5000,14 Mar 2015
44,Delhi,Najafgarh,Rice,Other,FAQ,1800,1800,1800,20 Aug 2015
45,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,22 Aug 2015
46,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,26 Jul 2015
47,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,27 Aug 2015
48,Delhi,Najafgarh,Rice,Parmal,FAQ,1900,1900,1900,14 May 2015
49,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,14 Mar 2015
50,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,18 Apr 2015
51,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,26 Mar 2015
52,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,28 Aug 2015
53,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,26 Jun 2015
54,Delhi,Narela,Rice,Other,FAQ,2400,2400,2400,05 Apr 2015
